Channel_id,Created_at,Channel_name,Custom_url,Subscribers,Views,Total_Videos,Playlist_id,Channel_age_years,Index_Performance,Index_Performance_log10
UC6TTtp9Hdx7GUz0OjrVg1_Q,2011-10-01 15:29:40+00:00,Matemática Universitária com Professor Renan lima,@matematicauniversitariarenan,65900,5536579,1260,UU6TTtp9Hdx7GUz0OjrVg1_Q,14.29,0.11821344009839162,-0.9273331441929789
UC5Y_eqLLV2oBTcbOyIAKmFg,2021-10-24 21:10:18.466937+00:00,A Menina da Matemática,@ameninadamatematica,62500,14519206,361,UU5Y_eqLLV2oBTcbOyIAKmFg,4.22,0.024875951619187743,-1.6042202965095926
UCYAFWZxU8NIW4usayhANl5Q,2020-01-25 15:24:58.408957+00:00,Fique Tranquilo - Matemática com prof. Bruno,fiquetranquilomatematica,52400,2909231,228,UUYAFWZxU8NIW4usayhANl5Q,5.97,0.003733841152260038,-2.4278441620603064
UCLrpSGZxlnq6uQNNXRXXppw,2018-02-14 14:57:32+00:00,Ratão da matemática,@rataodamatematica,49900,3751530,1023,UULrpSGZxlnq6uQNNXRXXppw,7.92,0.027292728239063216,-1.5639530491616178
UCSPjiPET3XrnAmbWE5mzSnA,2021-05-17 10:43:22.014622+00:00,APRENDER MATEMÁTICA,@aprendermatematicaa,49800,5852039,202,UUSPjiPET3XrnAmbWE5mzSnA,4.67,0.004947000687250087,-2.3056580293025055
UCHcvG8rLz1NVHTFqvdkwatw,2017-11-15 23:08:43+00:00,Renato da Matemática,renatodamatematica,49200,6940393,2507,UUHcvG8rLz1NVHTFqvdkwatw,8.16,0.12569871116999845,-0.9006691752545938
UC16Iw9JWE6BMg2OKqLHeybQ,2017-12-08 00:42:30+00:00,300 segundos de Matemática,@300segundosdematematica,48100,9058709,2401,UU16Iw9JWE6BMg2OKqLHeybQ,8.1,0.15248451058635284,-0.8167742698157316
UCcQPFUfaQGFbElakEZa72Bw,2020-08-27 03:46:25.088220+00:00,RA Matemática,ramatematica,43900,4434224,1989,UUcQPFUfaQGFbElakEZa72Bw,5.39,0.03755284657867786,-1.425357137047144
UCwJn1Nb0nKcNIzGBx1Iq8Qw,2015-07-18 12:53:10+00:00,Matemática Bem Fácil,matematicabemfaciloficial,40200,3237508,134,UUwJn1Nb0nKcNIzGBx1Iq8Qw,10.5,0.003295096720811889,-2.4821318330583195
UCxkrv0Mvgc5GTi8xj0DhSTQ,2020-06-13 21:40:46.326592+00:00,Matemática Online Alisson Marques,@curso.matematica.online,38500,813198,296,UUxkrv0Mvgc5GTi8xj0DhSTQ,5.59,0.0009321755689516362,-3.030502283519428
UCTcB5Wtk6gF0gBw4vvK2QeQ,2011-10-09 15:13:33+00:00,Matemática como Hobby,@matematicacomohobby,32900,1337664,155,UUTcB5Wtk6gF0gBw4vvK2QeQ,14.27,0.0017516033803450998,-2.7565642253525957
UC2eAnIEpGG5TPD--K6il96A,2015-12-21 21:18:12+00:00,O Monstro da Matemática,@monstrodamatematica,29700,1611710,91,UU2eAnIEpGG5TPD--K6il96A,10.07,0.0007893168588476796,-3.1027486210938786
